timestamp,number,spin_index,spike,layout
2026-07-02T09:42:45+00:00,1,1,109.25641025641026,landscape
2026-07-02T09:43:12+00:00,2,2,104.32179487179486,landscape
2026-07-02T09:43:34+00:00,40,3,52.274358974358975,landscape
2026-07-02T09:44:00+00:00,1,4,102.06794871794871,landscape
2026-07-02T09:44:23+00:00,8,5,67.99487179487178,landscape
2026-07-02T09:44:48+00:00,1,6,102.06794871794871,landscape
2026-07-02T09:45:35+00:00,20,7,59.62692307692309,landscape
2026-07-02T09:45:58+00:00,30,8,58.89358974358974,landscape
2026-07-02T09:46:21+00:00,8,9,60.00897435897434,landscape
2026-07-02T09:46:50+00:00,40,10,230.96410256410257,landscape
2026-07-02T09:47:09+00:00,5,11,80.4448717948718,landscape
2026-07-02T09:47:32+00:00,20,12,69.28461538461538,landscape
2026-07-02T09:47:58+00:00,1,13,102.06794871794871,landscape
2026-07-02T09:48:20+00:00,1,14,126.47000000000001,landscape
2026-07-02T09:48:44+00:00,8,15,60.00897435897434,landscape
2026-07-02T09:49:07+00:00,10,16,96.2102564102564,landscape
2026-07-02T09:49:32+00:00,40,17,41.769230769230774,landscape
2026-07-02T09:49:54+00:00,40,18,52.274358974358975,landscape
2026-07-02T09:50:19+00:00,1,19,102.06794871794871,landscape
2026-07-02T09:50:42+00:00,30,20,58.89358974358974,landscape
2026-07-02T09:51:06+00:00,1,21,102.06794871794871,landscape
2026-07-02T09:51:28+00:00,15,22,90.27948717948719,landscape
2026-07-02T09:51:54+00:00,5,23,80.4448717948718,landscape
2026-07-02T09:52:17+00:00,10,24,96.2102564102564,landscape
2026-07-02T09:52:40+00:00,10,25,93.75897435897436,landscape
2026-07-02T09:52:55+00:00,8,26,61.639743589743574,landscape
2026-07-02T09:53:32+00:00,1,27,168.90769230769232,landscape
2026-07-02T09:53:42+00:00,8,28,102.66410256410256,landscape
2026-07-02T09:53:48+00:00,8,29,67.99487179487178,landscape
2026-07-02T09:54:14+00:00,1,30,102.06794871794871,landscape
2026-07-02T09:54:19+00:00,8,31,122.9051282051282,landscape
2026-07-02T09:54:29+00:00,2,32,135.15641025641025,landscape
2026-07-02T09:54:36+00:00,1,33,109.2974358974359,landscape
2026-07-02T09:55:04+00:00,8,34,124.03205128205127,landscape
2026-07-02T09:55:14+00:00,1,35,137.61666666666667,landscape
2026-07-02T09:55:51+00:00,8,36,122.9474358974359,landscape
2026-07-02T09:56:35+00:00,1,37,102.06794871794871,landscape
2026-07-02T09:56:40+00:00,8,38,123.34615384615384,landscape
2026-07-02T09:56:50+00:00,1,39,122.66897435897437,landscape
2026-07-02T09:56:57+00:00,10,40,96.33846153846154,landscape
2026-07-02T09:57:21+00:00,10,41,93.86153846153847,landscape
2026-07-02T09:57:26+00:00,5,42,80.1551282051282,landscape
2026-07-02T09:58:07+00:00,2,43,104.32179487179486,landscape
2026-07-02T09:58:12+00:00,5,44,80.08717948717947,landscape
2026-07-02T09:58:29+00:00,40,45,52.274358974358975,landscape
2026-07-02T09:58:52+00:00,2,46,104.32179487179486,landscape
2026-07-02T09:58:57+00:00,5,47,80.26666666666665,landscape
2026-07-02T09:59:08+00:00,2,48,132.9194871794872,landscape
2026-07-02T09:59:14+00:00,8,49,67.99487179487178,landscape
2026-07-02T09:59:39+00:00,1,50,102.06794871794871,landscape
2026-07-02T09:59:44+00:00,5,51,78.66153846153847,landscape
2026-07-02T10:00:24+00:00,10,52,87.91282051282052,landscape
